,post_text,followers,friends,favourites,statuses,retweets,label,month,year
61,sarah_booker yorkshireguy urgh awful,84,211,251,837,0,1,8,2015
62,yorkshireguy sarah_booker cant shake image unsuspecting people driving along minding business tragically sad,84,211,251,837,0,1,8,2015
63,sarah_booker dear god horrific image awful awful awful httpstcoggrumnvmm,84,211,251,837,0,1,8,2015
64,rt bbcbreaking people confirmed dead plane crashed several vehicles shoreham airshow httptcoismqgjyeb,84,211,251,837,1213,1,8,2015
65,sarah_booker bbc reporting fatalities far awful,84,211,251,837,0,1,8,2015
66,toaster shopping needlessly confusing,84,211,251,837,0,1,8,2015
67,finding hard find funky decent quality toaster reasonable price silver boring cheap looking firstworldproblems,84,211,251,837,0,1,8,2015
68,rt bbcsussex sad footage released shoreham air crash content obviously distressing httptcoagswz,84,211,251,837,69,1,8,2015
69,sarah_booker thought,84,211,251,837,0,1,8,2015
70,awful awful tragedy lets hope casualties httpstcofkrqwxrhp,84,211,251,837,0,1,8,2015
71,true httptcoocwwjuqb,84,211,251,837,0,1,8,2015
72,sofa shopping whoop,84,211,251,837,0,1,8,2015
73,cat always overjoyed see every morning kind love priceless,84,211,251,837,0,1,8,2015
74,jessgrace_ beach trip,84,211,251,837,0,1,8,2015
75,jessgrace_ going go,84,211,251,837,0,1,8,2015
76,dusk warm cool httptcoizfytpbg,84,211,251,837,0,1,8,2015
77,mrbenbrown awesome motovlogs commentary great fun want bike,84,211,251,837,0,1,8,2015
78,rt jasonlea dolphins spotted heading east hove keep look brightonargus,84,211,251,837,2,1,8,2015
79,finished service centre call didnt make want cry punch something good work eon,84,211,251,837,0,1,8,2015
80,rt cambridgenewsuk man taken hospital suffering arm wrestling injury mill road httptcoviahxysg,84,211,251,837,3,1,8,2015
81,eonhelp,84,211,251,837,0,1,8,2015
82,eonhelp hi thx yes found end spoke nice helpful young lady sorted thx,84,211,251,837,0,1,8,2015
83,eonhelp last tweet dont worry spoke v helpful young lady sorted thx,84,211,251,837,0,1,8,2015
84,eonhelp hi im trying find number phone new account cant find please advise thx,84,211,251,837,0,1,8,2015
85,fragile egos umbrage taken blink need break,84,211,251,837,0,1,8,2015
86,rt dt_kenilworth dogs desperate treatsben friends would grateful donations dogstrust httptcoqe,84,211,251,837,44,1,8,2015
87,two weeks cant fing wait need get away work,84,211,251,837,0,1,8,2015
88,rt homemade things didnt know could malteasers epic httptcolmcwqekipp httptcobdeynvmbd,84,211,251,837,6,1,8,2015
89,feeling strange mix excited sad big change looming liberating many ways lifeischanging,84,211,251,837,0,1,8,2015
90,last time im going take bus work feels weird,84,211,251,837,0,1,8,2015
91,need care less dont want hard heart,84,211,251,837,0,1,8,2015
92,dont know allow feel disappointment someone even time,84,211,251,837,0,1,8,2015
93,last day office weeks whoop,84,211,251,837,0,1,8,2015
94,horrible muggy weather cambridge weather,84,211,251,837,0,1,8,2015
95,however going miss living road people drive like lunatics,84,211,251,837,0,1,8,2015
96,walking home occurs walking home wont possible soon miss,84,211,251,837,0,1,8,2015
97,wondering turn raymond httpstcolaquynv,84,211,251,837,0,1,8,2015
98,ive decided life needs pink cuddler chairbed,84,211,251,837,0,1,8,2015
99,love story httpstconjkcbjqspg,84,211,251,837,0,1,8,2015
100,good luck kids getting gcse results today resultsday,84,211,251,837,0,1,8,2015
101,people amp traffic everyone quietcambridge,84,211,251,837,0,1,8,2015
102,faffing considered hobby im good,84,211,251,837,0,1,8,2015
103,absolutely httptcononlwfub,84,211,251,837,0,1,8,2015
104,think right sofa shopping excited lol,84,211,251,837,0,1,8,2015
105,suppose get,84,211,251,837,0,1,8,2015
106,need sleep exciting day im still buzzed,84,211,251,837,0,1,8,2015
107,mini hog earlier evening one two moved httptcocouhem,84,211,251,837,0,1,8,2015
108,rt designtaxi best times post facebook instagram twitter httptcoqmjitd httptcovtrkdftb,84,211,251,837,24,1,8,2015
109,another milestone day insurance place final viewing tonight deposit prepared exchange imminent,84,211,251,837,0,1,8,2015
110,httptcoldipugk,84,211,251,837,0,1,8,2015
111,miss every single day dont think know still true,84,211,251,837,0,1,8,2015
112,theres either eyelash elephant eye either way net result pain,84,211,251,837,0,1,8,2015
113,rt elephantopia elephant fact day elephant herd considered one closely knit societies animal http,84,211,251,837,79,1,8,2015
114,celiahammond beautiful spopie adopted chat loving last week blackcatappreciationday httptcocclqlmsypr,84,211,251,837,3,1,8,2015
115,nimmykins still use account,84,211,251,837,0,1,8,2015
116,paulamanning rspca_official beauty,84,211,251,837,0,1,8,2015
117,interesting reading bbc news better diagnosis call adults adhd httptcoexeoxrca,84,211,251,837,0,1,8,2015
118,rspca_official girl spopie blackcatappreciationday httptcomgdevpbqo,84,211,251,837,4,1,8,2015
119,cementing status crocheting weirdo staff cafe,84,211,251,837,0,1,8,2015
120,hear hear httpstcoqwjdxeeww,84,211,251,837,0,1,8,2015
121,never thought id say im glad distraction work something keep productive organised,84,211,251,837,0,1,8,2015
122,feels autumnal sudden,84,211,251,837,0,1,8,2015
123,made jess cake httptcodipzhim,84,211,251,837,0,1,8,2015
124,rt cambridgenewsuk community rallies behind former soldier seen begging beehive centre httptcondrym httptco,84,211,251,837,4,1,8,2015
125,rt abigail_titmuss yrs ago puppy abandoned ireland dogstrust took london adopted today swims california,84,211,251,837,47,1,8,2015
126,miss every single day days feels like gutpunched,84,211,251,837,0,1,8,2015
127,house smells cake,84,211,251,837,0,1,8,2015
128,cotton granny square pink grey crochet grannysquare httptcozqzuvmbex,84,211,251,837,0,1,8,2015
129,ive little car year today happy birthday little car still going strong,84,211,251,837,0,1,8,2015
130,bad week calls comfortfood httptcopamcwa,84,211,251,837,0,1,8,2015
131,ely ely cambridgeshire httpstcosryxxpkjlq,84,211,251,837,0,1,8,2015
132,gorgeous day drive ely ely catherdral httpstcojsdrjuk,84,211,251,837,0,1,8,2015
133,jessgrace_ thought said could,84,211,251,837,0,1,8,2015
134,sarah_booker looks awful hope youre okay xx httpstcoeoaltyx,84,211,251,837,0,1,8,2015
135,rt brightonargus pictures severe weather hits sussex httptcoqgxilqmxmi httptcowjcxwfvr,84,211,251,837,10,1,8,2015
136,block another traditional grannysquare crochet crochetblanket afghan httptcodfazpxheqh,84,211,251,837,0,1,8,2015
137,hog time hedgehog httptcotxlxnmzwgb,84,211,251,837,0,1,8,2015
138,httptcockftcgto,84,211,251,837,0,1,8,2015
139,know dont crochet tipsy angry sad many extremes crochet dont mix,84,211,251,837,0,1,8,2015
140,feeling emotionally drained time easy stress free evening crochet penguins madagascar,84,211,251,837,0,1,8,2015
141,rt richardbranson read wonderful blog elephant conservation zimbabwe httptcombywtcaelx worldelephantday httptco,84,211,251,837,469,1,8,2015
142,rt richardbranson read wonderful blog elephant conservation zimbabwe httptcombywtcaelx worldelephantday httptco,84,211,251,837,469,1,8,2015
143,rt astronautabby astroluca rt astro_luca arriving queensland welcomed riveting colorful nature australia http,84,211,251,837,62,1,8,2015
144,rt bbccambs aboard aquatic combines harvesting weeds cambs waterways httptcooropisiwk dottymcl httptcovafb,84,211,251,837,9,1,8,2015
145,yep httptcojchaugpty,84,211,251,837,0,1,8,2015
146,big hoggle supper tonight hes magical little beastie httptcozecvjjg,84,211,251,837,0,1,8,2015
147,rt rspca_official marley amp zena dogrescuers looking fab rescue owner let almost starve owning dog priv,84,211,251,837,18,1,8,2015
148,rt protect_wldlife indeed httptcowkrkhtaj,84,211,251,837,842,1,8,2015
149,magical sky tonight changes seconds nofilter httptcomsawwgqy,84,211,251,837,0,1,8,2015
150,beautiful sky tonight nofilter httptcocdirpbq,84,211,251,837,0,1,8,2015
151,rare tuesday treat dinner comfortfood httpstcoletzjnn,84,211,251,837,0,1,8,2015
152,bought today cant decide super organised waaay early httptcoqbhzqjln,84,211,251,837,0,1,8,2015
153,lilypebbles sorry hear lily pets family heartbreaking die dixie lovely life x,84,211,251,837,0,1,8,2015
154,must remember httptcopqnmbf,84,211,251,837,0,1,8,2015
155,gorilla amazing reaction reunited man took care years httptcowulhxtvgr,84,211,251,837,0,1,8,2015
156,rt designtaxi test eyes playing fastpaced colormatching game httptcohframein httptcoqdupdbdrnq,84,211,251,837,23,1,8,2015
157,scored points kolor game guess colors score high,84,211,251,837,0,1,8,2015
158,awake mind racing need sleep dammit insomnia,84,211,251,837,0,1,8,2015
159,square done crochet crochetblanket httptcoehqftyzvt,84,211,251,837,0,1,8,2015
160,the_candourist glad see survived brutality desert stay strong safe,84,211,251,837,0,1,8,2015
161,ive remembered new house range cooker whoop looking forward road testing,84,211,251,837,0,1,8,2015
162,square lacy crochet pale blue dk yarn crocheting crochetblanket httptcovrvvnvqoh,84,211,251,837,0,1,8,2015
163,squares made crochet crocheting httptcomromykmta,84,211,251,837,1,1,8,2015
164,rt cambridgenewsuk look around milton country park weve found prettiest spots httptcownbsmqqhs http,84,211,251,837,11,1,8,2015
165,rt twistedthread happy sunday borntosew httptcopmvhewazw,84,211,251,837,2,1,8,2015
166,deckchair sun whats love catsoftwitter httptcovegrrwuag,84,211,251,837,0,1,8,2015
167,watching pitch perfect pat benatar belong httpstcowlljenuy,84,211,251,837,0,1,8,2015
168,natalie imbruglia,84,211,251,837,0,1,8,2015
169,two hoggles dinner far tonight hedgehog httptcoujixecsl,84,211,251,837,0,1,8,2015
170,rt bhcitynews brighton student chosen exhibit alongside hogarth reynolds national portrait gallery httptcotisqjm,84,211,251,837,9,1,8,2015
171,woof_all__pets beautiful kitty,84,211,251,837,0,1,8,2015
172,viviannamakeup lovely kitchen,84,211,251,837,0,1,8,2015
173,rt cambridgenewsuk fun things cambridgeshire september httptcouagwlxop httptcowtocguer,84,211,251,837,0,1,8,2015
174,see worldcatday httptcodtbtmhlsc,84,211,251,837,0,1,8,2015
175,rt dogstrust pups cant cuddled due horrible skin infection dt_essex provide tlc httptcoyyiwrulj httptc,84,211,251,837,47,1,8,2015
176,chair mine worldcatday httptcohrwduoksyg,84,211,251,837,0,1,8,2015
177,rt cambridgenewsuk cambridgeshire cook book httptcowimajcgmm httptcogozffmdid,84,211,251,837,3,1,8,2015
178,rt cambridgenewsuk alevel predicted grades wrong cambridge assessment finds httptcouiyjmjhu,84,211,251,837,0,1,8,2015
179,might completed house time next week whoop,84,211,251,837,0,1,8,2015
180,mrbenbrown watched amp steve get tats looked painless want,84,211,251,837,0,1,8,2015
181,keeping company work worldcatday catsprotection httptcogflzsvkp,84,211,251,837,0,1,8,2015
182,happy little dog rose plays balloon httpstcoqczvkhtz via youtube,84,211,251,837,0,1,8,2015
183,snuffly hedgehogs dinner evening,84,211,251,837,0,1,8,2015
184,poor babies httpstcosmznjrnrrk,84,211,251,837,0,1,8,2015
185,oh wrong people httpstcozlfhagq,84,211,251,837,0,1,8,2015
186,estate agent officially pissing,84,211,251,837,0,1,8,2015
187,rt bbccambs woman assaulted walked home peterborough appeal cambscops httptcoqzxbwpdom,84,211,251,837,2,1,8,2015
188,rt richardbranson big game animals worth alive dead httptcorovvjkroq httptcokhwnhcdzf,84,211,251,837,459,1,8,2015
189,donkeysanctuary mention times fastest growing farm attraction lovely yay donkeys httptcozfkmalzzrk,84,211,251,837,0,1,8,2015
190,schools theres traffic morning feels really odd,84,211,251,837,0,1,8,2015
191,square complete trebles bobbles crochet httptcocufpvkew,84,211,251,837,0,1,8,2015
192,rt protect_wldlife please rt massive thank kind souls look orphans rhino horn trade insafehands htt,84,211,251,837,1384,1,8,2015
193,rt protect_wldlife scared baby elephant rapas cries saved drowning httptcoqiezaimx many thanks dswt team http,84,211,251,837,416,1,8,2015
194,river cam still fill joy httpstcoszdimzhbv,84,211,251,837,0,1,8,2015
195,beautiful evening gentle walk home httpstcojwhiejl,84,211,251,837,0,1,8,2015
196,yaay grantchester httpstcoydqnkqyzc,84,211,251,837,0,1,8,2015
197,bus drivers actually wait elderly passengers sit start driving arent nice,84,211,251,837,0,1,8,2015
198,rip george minder star george cole dies httptcoombqep,84,211,251,837,0,1,8,2015
199,poffy alway take time hectic schedule sleeping amp eating give buddy quick wash httptcouboon,84,211,251,837,0,1,8,2015
200,trying new stitch bit uneven test attempt crochet httpstcosefjprgu,84,211,251,837,0,1,8,2015
201,rt rspca_official rt heartwiltsnews kittens found car towed miles swindon httptcoxdhvva heartnews httptcogs,84,211,251,837,24,1,8,2015
202,boy front beard reeks lager got child bus fare mystery,84,211,251,837,0,1,8,2015
203,im step closer towards contracts signed completion house exciting times,84,211,251,837,0,1,8,2015
204,disgusting hope catch person httpstcoejublxc,84,211,251,837,0,1,8,2015
205,rt twistedthread minions fans patterns httptcobnciujzi sewing felt httptcodwwqkjb,84,211,251,837,7,1,8,2015
206,catsprotection one girls best sleeping whiskerswednesday httptcozujnwzb,84,211,251,837,4,1,8,2015
207,wish foreign language schools cambridge would teach students manners,84,211,251,837,0,1,8,2015
208,bad nights sleep weird anxiety dreams left feeling anything refreshed,84,211,251,837,0,1,8,2015
209,the_candourist fantastic first vlog emotional beautifully filmed good luck epic ride,84,211,251,837,0,1,8,2015
210,httptcovderreu,84,211,251,837,0,1,8,2015
211,tuesday morning httptcomxcpisjn,84,211,251,837,0,1,8,2015
212,random song popped head midnight train georgia idea httptcowbsahuybb,84,211,251,837,0,1,8,2015
213,life may seem perfect outside world motivationalquotes httptcoeadtsqb,84,211,251,837,0,1,8,2015
214,rt rickygervais serious note im incredibly proud unified compassion condemnation animals abusers,84,211,251,837,995,1,8,2015
215,theres nothing delicious coming home taking work clothes,84,211,251,837,0,1,8,2015
216,talking tv shows afternoon brought mention talking aspidistra remembers,84,211,251,837,0,1,8,2015
217,appeal identify suspects homophobic assault train back london brighton pride httpstcozchekvfg,84,211,251,837,0,1,8,2015
218,retro sweets monday httpstcoqmcaqfuhs,84,211,251,837,0,1,8,2015
219,rt designtaxi makeup artist paints wonderful whimsical scenes adorable cats eyelids httptcohogywesbyl httptcoymtulszw,84,211,251,837,58,1,8,2015
220,rt folksy feeling overwhelmed craft business advice time management tips httptcostadtotoy,84,211,251,837,5,1,8,2015
221,rt designtaxi know catloving friend would love patch httptcotoyxobwjt httptcoejaxyl,84,211,251,837,0,1,8,2015
222,rt craftsbeautiful yarnbombing come coronation street httptcomcxarkuv httptcoxaxpcjud,84,211,251,837,1,1,8,2015
223,monday im coming get ya positiveaffirmations httptcogvtuinmd,84,211,251,837,0,1,8,2015
224,remember httptcomylwhhyvd,84,211,251,837,0,1,8,2015
225,pre mondayanxiety anxiety sucks,84,211,251,837,0,1,8,2015
226,wonderful httpstcowvuwzfklal,84,211,251,837,0,1,8,2015
227,holywell river front httpstcoxjzyxobapt,84,211,251,837,0,1,8,2015
228,sunday lunch old ferryboat inn httpstcobbcy,84,211,251,837,0,1,8,2015
229,rip cilla cilla black dies aged via telegraph httptcovxpyonxjs,84,211,251,837,0,1,8,2015
230,bangles eternal flame httptcowrvvtcnj,84,211,251,837,0,1,8,2015
231,soooo sleepy saturday night,84,211,251,837,0,1,8,2015
232,first crochet flower httptcoybboviqik,84,211,251,837,0,1,8,2015
233,funny song transport time place remind someone causing physical jolt changing moment instantly,84,211,251,837,0,1,8,2015
234,went hobbycraft black buttons several balls wool amp needle felt kit later httptcoqxcsjthop,84,211,251,837,0,1,8,2015
235,mashed avocado toast breakfast champions httpstcodstsnt,84,211,251,837,0,1,8,2015
236,rt richardbranson protecting endangered species one important things us httptcoivkmqjy httpt,84,211,251,837,518,1,7,2015
237,tears fears head heels httptcowcdyqrnwcf,84,211,251,837,0,1,7,2015
238,mum surgery seems fine overnight hospital home tomorrow,84,211,251,837,0,1,7,2015
239,new crochet project making red poppies sell british legion first flowers ive ever made,84,211,251,837,0,1,7,2015
240,vile subhuman httpstcovadwcvq,84,211,251,837,0,1,7,2015
241,good home happy finally friday work,84,211,251,837,0,1,7,2015
242,rt rspca_official would know cat poisoned see symptoms amp advice httptcoxqhzozzp h,84,211,251,837,50,1,7,2015
243,depression illness httpstcofdkqaopwa,189,169,698,3694,0,1,11,2015
244,searching therapist meets weekends httpstcoikyqsccm,189,169,698,3694,0,1,11,2015
245,st ladys mental health road map mental wellness httpstcogggjnehx,189,169,698,3694,0,1,11,2015
246,want teen practice safe sex parenting httpstcorgoomjzkn,189,169,698,3694,0,1,11,2015
247,untreated mental illness leaves dead mentalillness httpstcodbkubyz,189,169,698,3694,0,1,11,2015
248,stereotypes teens undermine parents httpstcobptujftq,189,169,698,3694,0,1,11,2015
249,loved one crisis httpstcoimshcllfeo,189,169,698,3694,0,1,11,2015
250,parenting mental illness mentalillness httpstcouzefiuscen,189,169,698,3694,0,1,11,2015
251,recovery addiction impacts family httpstcogeskmvbxi,189,169,698,3694,0,1,11,2015
252,heroin deaths surge httpstcoblndywjd,189,169,698,3694,0,1,11,2015
253,raise narcissist httpstcoifvpnlhd,189,169,698,3694,0,1,11,2015
254,top relationship deal breakers httpstcogxbnbga,189,169,698,3694,0,1,11,2015
255,cbt winter blues httpstcosqqpzffog,189,169,698,3694,0,1,11,2015
256,decisive marriage httpstcolmjjbsj,189,169,698,3694,0,1,11,2015
257,mental suffering like illness mentalillness httpstcomrrsfehcjg,189,169,698,3694,0,1,11,2015
258,wounded veterans suffer ptsd httpstcokjabhkfw,189,169,698,3694,0,1,11,2015
259,stressed tired rushed family httpstcoocjnaljy,189,169,698,3694,0,1,11,2015
260,client therapist relationship httpstcozppxejrl,189,169,698,3694,0,1,11,2015
261,whats traumatic birth httpstcoiszrdur,189,169,698,3694,0,1,11,2015
262,us therapist general httpstcorrpfwwo,189,169,698,3694,0,1,11,2015
263,addiction crisis us httpstcoidxdoonibf,189,169,698,3694,0,1,11,2015
264,could jewelry help prevent sexual assault httpstcocycivoj,189,169,698,3694,0,1,11,2015
265,gonorrhea becoming resistant std httpstcoxsujveo,189,169,698,3694,0,1,11,2015
266,parents sex talk children httpstcoiufqinowi,189,169,698,3694,0,1,11,2015
267,subtle suicide httpstcouisppzjxf,189,169,698,3694,0,1,11,2015
268,halloween traumatize children httpstcobbecdkmhu,189,169,698,3694,0,1,11,2015
269,college students alcohol disorders httpstcozdvtemvf,189,169,698,3694,0,1,11,2015
270,white men die suicide substance abuse httpstcodcfhais,189,169,698,3694,0,1,11,2015
271,sex couples fertility benefits httpstcomddzhdol,189,169,698,3694,0,1,11,2015
272,march eating disorders washington httpstcoixmadxar,189,169,698,3694,0,1,11,2015
273,anorexic woman weighed pounds httpstcolfsfqgnfl,189,169,698,3694,0,1,11,2015
274,love women anxiety httpstcorzxyjgwbe,189,169,698,3694,0,1,11,2015
275,mindfulness workplace httpstconivrzsqew,189,169,698,3694,1,1,11,2015
276,teach children selfadvocate parenting httpstcotjdzomuua,189,169,698,3694,0,1,11,2015
277,children inherit anxiety httpstcottwbgrbqs,189,169,698,3694,0,1,11,2015
278,children selfesteem httpstcosdzuqyji,189,169,698,3694,0,1,11,2015
279,happens try prevent every suicide httpstcoyajcyihij,189,169,698,3694,0,1,11,2015
280,deal mental health issues work mentalhealth httpstcoyzwzwpxxiy,189,169,698,3694,0,1,11,2015
281,peer support breaking stigma httpstcoavmvqvezgx,189,169,698,3694,0,1,11,2015
282,teens selfharm bullying sexting httpstconcekzwta,189,169,698,3694,0,1,11,2015
283,limit video game time help manage adhd httpstcowiveb,189,169,698,3694,0,1,11,2015
284,stop child abuse httpstcolftwlpgs,189,169,698,3694,0,1,11,2015
285,need weekend counseling appointment ct httpstcodrwhnlrky,189,169,698,3694,0,1,11,2015
286,know signs child neglect httpstcopalxpytc,189,169,698,3694,0,1,11,2015
287,love person mental illness mentalillness httpstcoyntxxmcrz,189,169,698,3694,0,1,11,2015
288,messages mental illness worldwide mentalillness httpstcozjcyonwow,189,169,698,3694,0,1,11,2015
289,accept emotions acceptance httpstcoenrbfzqfs,189,169,698,3694,0,1,11,2015
290,need therapist accepts husky insurance ct httpstcoqaoxxuqah,189,169,698,3694,0,1,11,2015
291,side effects antidepressants httpstcowpkchmost,189,169,698,3694,0,1,11,2015
292,think sadness may depression httpstconbopqloz,189,169,698,3694,0,1,11,2015
293,mental health academic life mentalhealth httpstcohgtenmfty,189,169,698,3694,0,1,11,2015
294,comes stress women worse httpstcofjccsmzn,189,169,698,3694,0,1,11,2015
295,poor parenting children behavior problems httpstcoebdgrwjurk,189,169,698,3694,0,1,11,2015
296,dating sites connected std increase httpstcotfgvlq,189,169,698,3694,0,1,11,2015
297,searching counselor meets weekends httpstcoorulllzod,189,169,698,3694,0,1,11,2015
298,subtle signs depression httpstcozzwjuoou,189,169,698,3694,0,1,11,2015
299,men account suicides httpstcokaadakndh,189,169,698,3694,0,1,11,2015
300,accountants mental health stress httpstcopklhawu,189,169,698,3694,0,1,11,2015
301,another way counter anxiety httpstcorxifodlu,189,169,698,3694,0,1,11,2015
302,legalizing prostitution lead trafficking httpstcoyxtmjhkv,189,169,698,3694,0,1,11,2015
303,things shouldnt affair httpstcowvyfihhs,189,169,698,3694,0,1,11,2015
304,early life stress lead depression later httpstcouqlowlvph,189,169,698,3694,0,1,11,2015
305,marriage good health httpstcobaiginnbl,189,169,698,3694,0,1,11,2015
306,struggle need perfection httpstcocyutjshmi,189,169,698,3694,0,1,11,2015
307,birth control impacted marriage httpstcotdqfzlfur,189,169,698,3694,0,1,11,2015
308,seniors cope depression httpstcotwyblqaxv,189,169,698,3694,0,1,11,2015
309,make sense depression httpstcoedrgrclmn,189,169,698,3694,0,1,11,2015
310,stress effect health httpstcogxxcfmgpf,189,169,698,3694,0,1,11,2015
311,black men mental illness mentalillness httpstcocwsfhgj,189,169,698,3694,0,1,11,2015
312,understanding anxiety men httpstcoywqpeulztw,189,169,698,3694,0,1,11,2015
313,mentally ill left behind mentalillnes httpstcovbplsdhx,189,169,698,3694,0,1,11,2015
314,tackling feelings resentment httpstcojvkadu,189,169,698,3694,0,1,11,2015
315,myths undermine addiction recovery httpstcoesworkj,189,169,698,3694,0,1,11,2015
316,many people know cocaine problem addiction httpstcomwkatyok,189,169,698,3694,0,1,11,2015
317,children pot addiction httpstcoiopcnqdx,189,169,698,3694,0,1,11,2015
318,ptsd flood httpstcobwjukxaief,189,169,698,3694,0,1,11,2015
319,volunteering improves mental health httpstcobqaavycoy,189,169,698,3694,0,1,11,2015
320,taking care work httpstcowfnjtcay,189,169,698,3694,0,1,11,2015
321,reversing childhood obesity httpstcovzzscjqe,189,169,698,3694,0,1,11,2015
322,dont take children httpstcoldjtkbass,189,169,698,3694,0,1,11,2015
323,refusing treatment bipolar disorder httpstcodcklqcxi,189,169,698,3694,0,1,11,2015
